iteration	shoreline	crops	herbaceous_wet	woody_wet	energy_tank	flight_cost_(kcal_per_hour)	flight_speed_(km_per_hour)	km_per_kcal	range_(km)
367	23049	52391	22479	13892	1420	41	93	2.268292682926830	3220.975609756100000
368	46436	100451	39442	31270	1328	57	96	1.684210526315790	2236.631578947370000
369	44706	104111	17252	30621	947	39	101	2.589743589743590	2452.487179487180000
370	41686	106518	29191	48146	1412	57	86	1.508771929824560	2130.385964912280000
371	34543	82316	15224	40643	1222	51	104	2.039215686274510	2491.921568627450000
372	30742	103262	10827	40798	1016	45	99	2.200000000000000	2235.200000000000000
373	5900	49119	13657	27195	1265	40	51	1.275000000000000	1612.875000000000000
374	33518	54065	3876	46236	892	41	103	2.512195121951220	2240.878048780490000
375	41015	57044	45611	32610	937	43	79	1.837209302325580	1721.465116279070000
376	45486	47600	36006	19153	1262	48	68	1.416666666666670	1787.833333333330000
377	26639	56145	17691	36449	1337	52	87	1.673076923076920	2236.903846153850000
378	31278	105993	8201	32224	1225	48	120	2.500000000000000	3062.500000000000000
379	22245	93711	30796	12687	1010	40	85	2.125000000000000	2146.250000000000000
380	40480	83897	11324	33916	1245	58	74	1.275862068965520	1588.448275862070000
381	41284	64113	33220	10946	1174	39	57	1.461538461538460	1715.846153846150000
382	37906	54091	4924	12957	1083	47	110	2.340425531914890	2534.680851063830000
383	39113	60707	23559	47540	1370	46	110	2.391304347826090	3276.086956521740000
384	27412	102042	8467	7169	942	43	106	2.465116279069770	2322.139534883720000
385	41116	82672	40420	3338	1019	51	72	1.411764705882350	1438.588235294120000
386	43296	109135	34867	28723	1219	51	122	2.392156862745100	2916.039215686270000
387	8142	44415	31939	6400	1341	55	73	1.327272727272730	1779.872727272730000
388	5177	83610	4417	34884	1389	43	69	1.604651162790700	2228.860465116280000
389	30363	99638	17712	25967	1383	57	50	0.877192982456140	1213.157894736840000
390	48894	50998	12645	17604	1330	54	100	1.851851851851850	2462.962962962960000
391	20311	60599	5755	46105	1237	41	70	1.707317073170730	2111.951219512200000
392	45649	45124	38029	30354	984	52	115	2.211538461538460	2176.153846153850000
393	13215	70229	44505	33676	1326	55	41	0.745454545454545	988.472727272727000
394	13361	46123	24117	9103	1122	44	95	2.159090909090910	2422.500000000000000
395	39771	106993	9097	36245	1035	52	85	1.634615384615380	1691.826923076920000
396	24580	79580	37256	11281	1399	42	110	2.619047619047620	3664.047619047620000
397	22254	76514	21858	19836	1410	51	113	2.215686274509800	3124.117647058820000
398	22943	101777	34633	12751	1133	57	51	0.894736842105263	1013.736842105260000
399	35593	59260	41386	20084	1052	41	61	1.487804878048780	1565.170731707320000
400	34133	102853	6881	4655	1058	44	46	1.045454545454550	1106.090909090910000
401	32868	108103	12756	40851	1264	51	105	2.058823529411760	2602.352941176470000
402	5353	91966	25468	10802	1170	56	100	1.785714285714290	2089.285714285710000
403	37758	59933	22475	32947	1304	52	111	2.134615384615380	2783.538461538460000
404	30745	51376	5081	32710	1102	53	112	2.113207547169810	2328.754716981130000
405	5844	86322	26349	23721	954	55	106	1.927272727272730	1838.618181818180000
406	39146	45515	9618	10326	1154	58	57	0.982758620689655	1134.103448275860000
407	33821	71236	24312	6093	1108	42	52	1.238095238095240	1371.809523809520000
408	8491	75986	46006	3563	957	47	57	1.212765957446810	1160.617021276600000
409	36541	101282	23345	19092	905	40	102	2.550000000000000	2307.750000000000000
410	7030	108531	15006	13072	1424	51	63	1.235294117647060	1759.058823529410000
411	7431	88635	32124	35492	1406	50	116	2.320000000000000	3261.920000000000000
412	27260	83086	19110	34882	1231	47	79	1.680851063829790	2069.127659574470000
413	23242	71606	8454	32360	1238	51	106	2.078431372549020	2573.098039215690000
414	48999	102991	24081	17779	1160	47	84	1.787234042553190	2073.191489361700000
415	14976	103657	8410	39500	1276	44	53	1.204545454545450	1537.000000000000000
416	27290	88331	33843	29221	1347	42	97	2.309523809523810	3110.928571428570000
417	38854	85297	15603	32298	1318	55	85	1.545454545454550	2036.909090909090000
418	15190	79505	21240	9165	964	58	96	1.655172413793100	1595.586206896550000
419	12087	86633	47602	12523	928	56	111	1.982142857142860	1839.428571428570000
420	32220	74356	33764	21415	1123	57	95	1.666666666666670	1871.666666666670000
421	21524	52994	7559	5065	1029	45	100	2.222222222222220	2286.666666666670000
422	12563	47309	21109	4991	1092	49	60	1.224489795918370	1337.142857142860000
423	42867	58477	35027	16017	1184	56	84	1.500000000000000	1776.000000000000000
424	42519	47068	33572	27896	1377	52	67	1.288461538461540	1774.211538461540000
425	31960	103682	9532	21813	1108	47	89	1.893617021276600	2098.127659574470000
426	19481	108979	4926	7366	1223	53	114	2.150943396226420	2630.603773584910000
427	45311	83531	24573	32159	1109	49	111	2.265306122448980	2512.224489795920000
428	22850	105333	42128	9218	944	41	111	2.707317073170730	2555.707317073170000
429	16621	68732	21046	14387	909	40	88	2.200000000000000	1999.800000000000000
430	33470	44597	13938	36920	1341	42	84	2.000000000000000	2682.000000000000000
431	36266	59316	37972	7192	1149	56	56	1.000000000000000	1149.000000000000000
432	3106	77434	38952	46964	1331	40	108	2.700000000000000	3593.700000000000000
433	24463	107993	43752	25749	1398	39	119	3.051282051282050	4265.692307692310000
434	36429	55599	47077	22241	1164	40	55	1.375000000000000	1600.500000000000000
435	16421	86221	35118	22916	1032	45	117	2.600000000000000	2683.200000000000000
436	46400	58157	29998	11531	908	55	110	2.000000000000000	1816.000000000000000
437	16355	62231	7637	9755	1344	54	98	1.814814814814810	2439.111111111110000
438	12774	99879	29812	34821	1320	42	57	1.357142857142860	1791.428571428570000
439	32634	61522	24084	24625	1130	40	79	1.975000000000000	2231.750000000000000
440	39012	101788	15670	41223	1020	49	113	2.306122448979590	2352.244897959180000
441	28604	91161	12583	38273	1275	46	116	2.521739130434780	3215.217391304350000
442	16090	51502	22121	39910	1257	47	56	1.191489361702130	1497.702127659570000
443	22603	96870	32916	46661	1351	41	52	1.268292682926830	1713.463414634150000
444	21378	59522	24469	33848	1264	48	104	2.166666666666670	2738.666666666670000
445	6001	61560	47180	20944	1034	38	86	2.263157894736840	2340.105263157890000
446	14743	96671	19487	20615	1327	57	44	0.771929824561403	1024.350877192980000
447	12338	109644	34118	21186	1439	45	46	1.022222222222220	1470.977777777780000
448	34763	99529	22240	44585	1114	48	59	1.229166666666670	1369.291666666670000
449	13609	68637	15329	26132	1048	42	89	2.119047619047620	2220.761904761900000
450	47868	86690	29850	20443	1220	46	96	2.086956521739130	2546.086956521740000
451	44048	44333	15186	36049	960	52	99	1.903846153846150	1827.692307692310000
452	37588	98082	9940	19706	1211	47	57	1.212765957446810	1468.659574468090000
453	3162	98639	8485	10742	1371	51	92	1.803921568627450	2473.176470588240000
454	4689	92348	38904	46674	1389	53	73	1.377358490566040	1913.150943396230000
455	10024	83182	49052	32655	1224	40	86	2.150000000000000	2631.600000000000000
456	26899	77399	10180	22225	1056	41	119	2.902439024390240	3064.975609756100000
457	27042	51788	25505	27699	977	54	67	1.240740740740740	1212.203703703700000
458	25485	50104	30262	46438	1081	47	113	2.404255319148940	2599.000000000000000
459	17647	69763	23013	42673	1197	56	60	1.071428571428570	1282.500000000000000
460	24598	98670	27399	25651	956	52	46	0.884615384615385	845.692307692308000
461	24853	102292	37514	35013	1053	44	80	1.818181818181820	1914.545454545450000
462	5081	75662	36432	41815	901	51	108	2.117647058823530	1908.000000000000000
463	11620	79330	37644	19099	970	45	60	1.333333333333330	1293.333333333330000
464	38430	73657	41192	8242	1265	43	43	1.000000000000000	1265.000000000000000
465	29008	84378	14049	31654	1378	38	101	2.657894736842110	3662.578947368420000
466	21301	106501	46803	47776	1361	56	91	1.625000000000000	2211.625000000000000
467	8218	47420	34318	18409	1461	48	53	1.104166666666670	1613.187500000000000
468	16202	77659	12209	12121	1383	46	97	2.108695652173910	2916.326086956520000
469	6001	79151	38784	15929	1005	49	82	1.673469387755100	1681.836734693880000
470	11682	94405	25912	46765	1337	40	79	1.975000000000000	2640.575000000000000
471	30795	84376	16318	25734	1031	54	96	1.777777777777780	1832.888888888890000
472	37564	65450	25504	35637	1362	55	90	1.636363636363640	2228.727272727270000
473	25472	44455	45000	23323	1144	46	119	2.586956521739130	2959.478260869570000
474	10002	69152	18088	6010	1461	48	114	2.375000000000000	3469.875000000000000
475	22309	51409	16332	34178	968	52	113	2.173076923076920	2103.538461538460000
476	32609	90818	5255	33071	1230	49	88	1.795918367346940	2208.979591836730000
477	37551	97175	16527	33095	1132	53	88	1.660377358490570	1879.547169811320000
478	31770	47131	22530	42507	1242	45	65	1.444444444444440	1794.000000000000000
479	10432	106783	40866	41257	1224	55	70	1.272727272727270	1557.818181818180000
480	40971	53653	8347	21337	1027	58	119	2.051724137931030	2107.120689655170000
481	21745	77863	37717	44512	1401	52	76	1.461538461538460	2047.615384615380000
482	12007	59344	30349	28491	1444	38	98	2.578947368421050	3724.000000000000000
483	44907	85603	9034	47881	1135	57	102	1.789473684210530	2031.052631578950000
484	46121	100526	41335	23140	1419	42	96	2.285714285714290	3243.428571428570000
485	26749	79412	14267	25120	975	56	77	1.375000000000000	1340.625000000000000
486	5063	63448	31729	12121	1414	55	107	1.945454545454550	2750.872727272730000
487	45312	44663	10004	18975	1249	56	83	1.482142857142860	1851.196428571430000
488	19047	46109	33821	45471	1380	45	43	0.955555555555556	1318.666666666670000
489	16035	95501	45506	10649	906	56	58	1.035714285714290	938.357142857143000
490	9902	83256	31378	39329	1001	56	77	1.375000000000000	1376.375000000000000
491	15304	109043	29237	33571	1390	39	93	2.384615384615380	3314.615384615380000
492	45507	78768	18999	25214	1047	51	74	1.450980392156860	1519.176470588240000
493	39232	76000	27841	5055	1355	38	62	1.631578947368420	2210.789473684210000
494	47427	97023	29341	30850	1346	39	120	3.076923076923080	4141.538461538460000
495	14459	68374	18622	13961	1360	55	92	1.672727272727270	2274.909090909090000
496	40458	81646	46483	25557	1349	55	58	1.054545454545450	1422.581818181820000
497	38517	105059	43389	23876	948	44	95	2.159090909090910	2046.818181818180000
498	7681	93352	5019	30007	960	39	120	3.076923076923080	2953.846153846150000
499	26913	109807	26318	25720	1139	49	78	1.591836734693880	1813.102040816330000
500	6398	56047	20812	22343	1171	58	79	1.362068965517240	1594.982758620690000
